"SKU","URL","Brand","Title","Size","Count","Characteristics","Details","Certifications","Color","Manufacturer","Reviews"
"1096472","https://www.projectn95.org/products/good-day-prevention-mask-kf94-black-large-package-of-10/","Happylife Goodday","3D Boat Shape KF94 Masks Black L","L","Pack of 10","Korea,Earloop,Boat,KF94","  Color: Black  Product Features: These black KF94 masks come individually wrapped in packs of 10. The foldable design makes these masks feel breathable and keeps the air you breathe feeling cooler because of the pocket in the front of the mask.  Adjustable Nose Clip, Folding type mask, individually packaged Approved by Korean MFDS (KF94 Mask) Blocks over 94% of 0.4μm size particles. Adjustable Nose Clip, Folding type mask, individually packaged    Manufacturer: Happy Life, Co. LTD     ","MFDS Item Standard Code: 201903449","Black","",""
"1096517","https://www.projectn95.org/products/kn-flax-adult-premium-kf94-face-mask-grey/","Kyungin Flax","3D Boat Shape KF94 Gray Masks L","L","Pack of 10","Korea,Earloop,Boat,KF94","  Color: Gray  Product Features  KFDA approved  4-layered, highly effective filter for protection from air pollution and fine dust  3-dimensional structure increasing breathing space Adjustable nose clip Providing non-slip wear and reducing heat and moisture accumulation Elastic ear loops making itself comfortable to wear    Manufacturer: KN Flax  Dimensions: 8.26' x 5.9' ","","Gray","","['5', 'The masks are fine, but they are huge on my face. Can't wear them, so make sure you really are a Large', 'I am 5'10 and 150 lbs, and this mask is too large for my face.  However it seems like a fine mask if you need a larger head/face size. '], ['5', 'Great comfortable mask', 'This is the most comfortable mask I have ever tried.  It has great filtration and is easy to breath through.  It is also not hot like some masks are.  ']"
"1096725","https://www.projectn95.org/products/kingfa-navy-blue-flat-fold-kn95-masks-m-l/","KingFa","Flat Fold KN95 Masks Blue M/L","M/L","Pack of 10","Flat Fold,China,Earloop,KN95","  This Navy Blue KN95 mask is a great option for large faces.     5-Ply Protective Layers (2 Polypropylene Non-Woven Layers, 2 Melt-blown Filter Cloths, and 1 Non-Woven Cotton Middle Layer). Each Box Contains 10 Sealed KN95 Earloop Masks. The adjustable nose clip is enhanced with an allergen-free foam piece, lessening the fatigue on the nose bridge. The foam piece on the nose is an anti-fogging accessory for those who wear glasses. The mask is available in new attractive colors including navy, charcoal gray, and pink. Packaging comes in a shrink-wrapped tamper-proof bag, and box to maintain The integrity of The mask. More space between the mask and the face. The material used is soft and plush. The mask almost feels cushioned to an extent. Extended flaps on The sides of The mask help The KN95 conform to The face better. The mask has thick shoelace ear straps that are difficult to break, with double-pressed attachment points connecting the straps Meets GB2626-2019 standard.   Dimensions: 16 cm x 12 cm (6.3 in x 4.72 in)   Shelf Life: 3 years      ","Meets GB2626-2019 standard","Blue","Kingfa SCI. & TECH. CO., LTD.",""
"1096723","https://www.projectn95.org/products/kingfa-gray-flat-fold-kn95-masks-m-l/","KingFa","Flat Fold KN95 Masks Gray M/L","M/L","Pack of 10","Flat Fold,China,Earloop,KN95","  This Gray KN95 mask is a great option for large faces.     5-Ply Protective Layers (2 Polypropylene Non-Woven Layers, 2 Melt-blown Filter Cloths, and 1 Non-Woven Cotton Middle Layer). Each Box Contains 10 Sealed KN95 Earloop Masks. The adjustable nose clip is enhanced with an allergen-free foam piece, lessening the fatigue on the nose bridge. The foam piece on The nose is an anti-fogging accessory for those who wear glasses. The mask is available in new attractive colors including navy, charcoal gray, and pink. Packaging comes in a shrink-wrapped tamper-proof bag, and box to maintain the integrity of the mask. More space between the mask and the face. The material used is soft and plush. The mask almost feels cushioned to an extent. Extended flaps on The sides of The mask help The KN95 conform to The face better. The mask has thick shoelace ear straps that are difficult to break, with double-pressed attachment points connecting the straps Meets GB2626-2019 standard.    Dimensions: 16 cm x 12 cm (6.3 in x 4.72 in)   Shelf Life: 3 years  ","Meets GB2626-2019 standard","Gray","Kingfa SCI. & TECH. CO., LTD.",""
"1096724","https://www.projectn95.org/products/pink-kingfa-flat-fold-kn95-masks-m-l/","KingFa","Flat Fold KN95 Masks Pink M/L","M/L","Pack of 10","Flat Fold,China,Earloop,KN95","  This Pink KN95 mask is a great option for large faces.     5-Ply Protective Layers (2 Polypropylene Non-Woven Layers, 2 Melt-blown Filter Cloths, and 1 Non-Woven Cotton Middle Layer). Each Box Contains 10 Sealed KN95 Earloop Masks. The adjustable nose clip is enhanced with an allergen-free foam piece, lessening The fatigue on The nose bridge. The foam piece on The nose is an anti-fogging accessory for those who wear glasses. The mask is available in new attractive colors including navy, charcoal gray, and pink. Packaging comes in a shrink-wrapped tamper-proof bag, and box to maintain The integrity of The mask. More space between the mask and the face. The material used is soft and plush. The mask almost feels cushioned to an extent. Extended flaps on the sides of the mask help the KN95 conform to The face better. The mask has thick shoelace ear straps that are difficult to break, with double-pressed attachment points connecting the straps Meets GB2626-2019 standard.    Dimensions:  16 cm x 12 cm (6.3 in x 4.72 in)   Shelf Life: 3 years     ","Meets GB2626-2019 standard","Pink","Kingfa SCI. & TECH. CO., LTD.",""
"1096784","https://www.projectn95.org/products/denim-3d-boat-shape-kn95-mask-m-l/","WellBefore","Denim 3D Boat Shape KN95 Mask M/L","Pack of 10","Pack of 10","China,Earloop,Boat,KN95"," WellBefore's breathable KN95 masks offer four standard layers of protection with a super soft skin-friendly inside layer of fabric. For those who wear their mask all day, you won't need to worry about your KN95 masks slipping out of place. These masks come with reinforced elastic straps that are heat pressed to ensure they stay in place. This KN95 mask is suitable protection against: - Air pollutants - Dust particles - Pollen - Allergens.    4 layers of standard protection, Ultra comfortable, easy to breathe through, premium filtration, Standard elastic ear loops Particulate filtration efficiency greater than or equal to 95% Masks are not individually wrapped.   Manufacturer: Guangdong Marbon Daily & Chemical LTD | Color: DenimAdjustable Nose Clip: Yes | Type: GB2626-2019 KN95 Mask","GB2626-2019","Blue","Guangdong Marbon Daily & Chemical LTD",""
"1096757","https://www.projectn95.org/products/black-3d-boat-shape-pro-adjustable-kn95-mask-m-l/","WellBefore","Black 3D Boat Shape Pro Adjustable KN95 Mask M/L","M/L","Pack of 10","China,Earloop,Boat,KN95"," WellBefore has made some adjustments to the design of their well-known 3D KN95 masks to create a brand-new premium, comfortable, breathable, and protective mask for everyone to enjoy and benefit from. Taking the importance of a protective fit into consideration, this new design includes an aluminum nose pin and nose foam for the secure sealing of the mask to the face. These additions are the main differences between this new improved design. It includes adjustable ear loops that provide the ability to alter the mask until it perfectly forms on the face as protectively as possible. This KN95 mask is suitable protection against: - Air pollutants - Dust particles - Pollen - Allergens.    4 premium layers with advanced filter media, Ultra comfortable, easy to breathe through, premium filtration, Aluminum nose pin and soft nose foam for the secure sealing Standard adjustable elastic ear loops for a perfect fit Particulate filtration efficiency greater than or equal to 95% Masks are individually wrapped.    Manufacturer: Guangdong Marbon Daily & Chemical LTD | Color: BlackAdjustable Nose Clip: Yes | Type: GB2626-2019 KN95 Mask","GB2626-2019","Black","Guangdong Marbon Daily & Chemical LTD",""
"1096414","https://www.projectn95.org/products/flat-fold-bnx-h95b-niosh-approved-n95-respirator-mask-black/","BNX Converting LLC","Flat Fold H95B N95 Masks M/L","M/L","Pack of 5, 10 & 20","Flat Fold,Headstrap,N95,US/Global","  Product Features:  The black BNX flat fold n95 mask is proudly manufactured in the United States from globally-sourced materials and to the highest quality of standards. Our face masks are designed to provide a comfortable and efficient fit for maximum protection against non-oil-based airborne particles. An adjustable metal nose piece allows for a tight seal which helps to protect against airborne particles. Please follow all recommended fitting instructions and guidelines to ensure proper personal protection. Designated as an N95 mask, this respirator is certified to block at least 95% of particles .3 microns or larger. This mask is a good option for reducing exposure to wildfire smoke.   Manufacturer: BNX Converting LLC  Dimensions: Height 6.10 in, Width 4.13 in ","CDC NIOSH: TC-84A-9315","Black","","['5', 'love them!', 'I have a bigger face and a lot of N95/KN95 masks don't quite fit over my nose and chin at the same time, but these are great! The straps are comfortable and I can wear them for hours without getting uncomfortable. Highly recommend!']"
"1096788","https://www.projectn95.org/products/flat-fold-6150-n95-masks-s-m/","Protective Health Gear","Flat Fold 6150 N95 Masks S/M","S/M","Pack of 20 & 50","Flat Fold,Headstrap,N95,US/Global","Protective Health Gear particulate filtering facepieces are manufactured in America of high-quality latex-free materials and provide at least 95% filtration efficiency and reliable breathing protection. Each respirator is individually shrink-wrapped. This N95 filtering respirator covers the nose and mouth and is a tight-fitting air-purifying respirator in which the whole facepiece functions as a filter against airborne particles. PHG N95 Respirator features added foam padding that contours around your nose, mouth, and face without impacting breathability. The adjustable nosepiece can be shaped easily along your nose to prevent leakage and ensure a proper fit. The elastic head straps ensure a tight and secure seal.   Manufacturer: Protective Health Gear | CDC NIOSH: TC-84A-9525Adjustable Nose Clip: Yes | Individually Packaged: YesDimensions: 6.15' x 4.25' | Type: Non-surgical","CDC NIOSH: TC-84A-9525","White","Protective Health Gear",""
"1096443","https://www.projectn95.org/products/dr-puri-kf94-masks-respirators-black/","Dr. Puri","3D Boat Shape KF94 Masks M, L","Pack of 20","Pack of 20","Korea,Earloop,Boat,KF94","  Color: Black  Product Features: These black KF94 masks come individually wrapped in packs of 20. The foldable design makes these masks feel breathable and keeps the air you breathe feeling cooler because of the pocket in the front of the mask.   Approved by KFDA (KF94) Premium 4 layers of filters Blocks over 94% of 0.4μm size particles. Adjustable Nose Clip, Folding type mask, individually packaged    Manufacturer: KM Corporation ","","Black","","['5', 'Dr. Puri KF94 masks are perfect!', 'Since the beginning of the pandemic I have purchased every type of mask for me and my husband and our grown kids and their families. Most were too large for my face. I bought these because they had a medium size. They are absolutely perfect and fit like none of any other masks I’ve bought. This is the only mask I wear.I wear them at home if someone comes over or when I get out. I love these and will keep buying. Thanks for having these masks!'], ['5', 'One of my favorites!', 'I've been buying these masks for a couple years now and really like the fit and feel. Lightweight yet fit well so I feel protected. I wear glasses so finding a mask that fits well with them on can be tricky, but the nose area on these lets my glasses sit normally on my face.'], ['5', 'The ear loop is not adjustable', 'I got this for someone in my household who prefers earloop masks to respirators. Other KF94 masks have adjustable earloops to increase your chance of a good fit']"
"1096541","https://www.projectn95.org/products/bnx-flat-fold-kn95-masks-black/","BNX Converting LLC","Flat Fold KN95 Masks Black M/L","L","Pack of 10 & 20","Flat Fold,Earloop,US/Global,KN95","The BNX E95 Black KN95 mask is manufactured in the USA from globally sourced materials and is one of just a handful of domestically made KN95 masks available on the market. We love these KN95s for their breathability and versatile fit. This mask has a standard fit that works well for most adult faces.  BNX’s filtration technology provides maximum protection, comfort and breathability. The active filter layer is composed of ultra-high grade electrostatically charged meltblown polypropylene (top shelf highest grade material available in terms in breathability and protection). Extremely breathable up to 50%+ more breathable than leading competitors.   Features latex free and amazingly soft and durable ear-loop bands as well as an adjustable metal nose piece to ensure a tight yet comfortable seal.  Flat fold design allows for convenient storage prior to use. Improved 3D design provides room for your mouth to move when you speak and reduced fog on glasses. These KN95 face masks are ideal for use in crowded or contaminated areas such as: Commercial Buildings, Construction, Food Processing, Food Safety, Retail, General Manufacturing, Infrastructure, Mining, Oil & Gas, Transportation, and more.   Manufacturer: BNX Converting LLC | Standard: GB2626-2019Adjustable Nose Clip: Yes | Individually Packaged: No| Shelf Life: Use by date printed on package","GB2626-2019","Black","",""
"1096345","https://www.projectn95.org/products/demetech-dtn95fh-n95-respirator-mask/","Demetech","Flat Fold DT-N95-FH N95 Masks M/L","M/L","Pack of 5 & Pack of 20","Flat Fold,United States,Headstrap,N95","Our best-selling mask for a reason: comfort. This N95 respirator fits well on average-to-large faces and sports soft interior fabric and a padded nose clip. Available with shorter head straps for small faces. Made in the USA. Manufacturer: Demetech Corporation | CDC NIOSH: TC-84A-9251 Adjustable Nose Clip: Yes | Individually Packaged: No Dimensions: 5.51' x 6.29' (mask), 14.96' x 12.99' (straps) | Type: Surgical","","White","","['5', 'Ideal fit for me', 'I've tried many KN95, KF94, and N95 masks in the past year and this one is by far my favorite. It just seems to suit my particular face shape better than any others. The fit is snug and secure, without being uncomfortable. I've had issues with other tight-fitting masks exacerbating jaw/TMJ problems, but that doesn't seem to happen with these, even after a long day of teaching where I'm talking constantly. I'd highly recommend these to anyone else with a similar face shape (big head + overbite).'], ['5', 'My preferred N95', 'Most masks I've tried are a little small for me. Demetech's M/L flat fold design is the right fit for my head and face.'], ['5', 'High quality but not able to get a snug fit around the nose', 'These respirators don't work for my specific face. I am unsure if it is a design flaw or just my specific face. This has foam on the inside of the nose bridge and I am unsure if this contributed to the leakage or not but either way I am hyper conscious about leakage around my tear duct area and I can not get this respirator to fit me snuggly in that area. I purchased both this size and the smaller size and both leaked. After trying both I would say the average adult may have better luck with the smaller one since do not have a small face and that one fit me so these seem to run a bit larger than other respirators I have tried. I would say the biggest advantage of this respirator is it's sturdiness. If these did fit me I would feel comfortable possibly reusing these for a bit by rotating them (I do not use these in a medical setting so this meets my comfort level). I will note that while these masks are breathable they are very thick and sturdy so a bit more substantial than some other styles. I personally prefer the lighter thinner material of the duckbill style.'], ['5', 'Comfortable, good for air travel', 'I purchased these for my teenage son to wear on plane rides for college visits (I was a volunteer for Project N95 at the time). They were comfortable enough for him to wear throughout the airports and flights without complaint.'], ['5', 'Love comfort of mask but has some design flaws', 'The fit and comfort is great. U fortunately the bottom strap has broken off several after taking it on and off a few times. The bottom of mask split apart on few as well. I wear mask for 8-10 hour day. I remove it 3-4 times during a shift. I have learned to hold lower step insertion sites to prevent breakage. Would be better if mask had one continuous star with toggle to loosen and tighten when applying mask. This would allow for better individual fit and easy removal with out breakage']"
"1096792","https://www.projectn95.org/products/aci-surgical-n95-respirator-mask-3120/","ACI (Advanced Concept Innovations)","Duckbill 3120 N95 Masks Universal","One Size Fits Most","Pack of 10, 50","Duckbill,Headstrap,N95,US/Global","Made in the USA with globally-sourced materials.  The ACI N95 is a surgical N95 with approval for use in Healthcare Settings by NIOSH and FDA. It is manufactured in the USA using globally sourced materials. ASTM F1862 Level 3 Fluid Resistance – Highest Level of Protection (160 mmHg) More comfortable, lightweight head strap materials reduce discomfort from tight head straps Flexible contoured nosepiece and duckbill design, allows for custom fit to a variety of different face sizes and shapes. Flat pouched design provides cooler breathing chamber Non-abrasive comfort layer provides excellent moisture management  Manufacturer: Advanced Concept Innovations (ACI)  Expiration Date: 3 year shelf life from the date of manufactureContact customer service for orders over 300 surgical respirators.Special or critical User Instructions and/or specific use limitations apply. Refer to User Instructions before donning.   This respirator has been approved as a NIOSH N95 filtering facepiece respirator, for use in healthcare settings, as a surgical N95 respirator conforming to recognized standards for biocompatibility, flammability, and fluid resistance.Before occupational use of this respirator, a written respiratory protection program must be implemented meeting all the local government requirements. In the United States, employers must comply with OSHA 29 CFR 1910.134 which includes medical evaluation, training, and fit testing.  ","CDC NIOSH: TC-84A-9318","Blue","","['5', 'top sharp ', 'I know I look like a class clown  wearing this all day I still love wearing it still and I know I'm crazy I just love my work so I can move fast on land and survive I got to stay say so I wear this for myself my wife and me working all day '], ['5', 'Best fitting, best breathing, most comfortable masks', 'I have a small face and this is the only mask which fits properly without needing continuous adjustment. When I wear it, I feel safe on airplanes and indoors, I can be heard, and I can breathe normally. I’ve bought several boxes for myself and for my mom and her caretakers. Only downside: they make people look ugly. '], ['5', 'Best on all counts', 'Unsurpassed comfort, fit, and breathability at an excellent price. . . Just gave away all my other brands of NIOSH-approved N95s and plan to go with these henceforth.'], ['5', 'My favorite N95 so far', 'These are the most comfortable (especially for the nosewire piece) and well-fitting N95s I've used yet (out of about 4 or 5 manufacturers/designs I've used). I also appreciate that the headbands are made of a stretchy fabric-type material that's both more comfortable and apparently less likely to snap than the rubber-strap types.'], ['5', 'Great fit for Larger Heads', 'I have tried three different N95 and KN95 respirator styles so far, and this one has the best fit for me. For reference, my hat size is 7-3/4. Some KN95 ear loops are painfully tight on me, pulling at my ears far too much. But the straps on this mask are only comfortably snug, while still maintaining a great seal! I can wear sunglasses without them fogging up due to leaking. The fit is so perfect that you can see the mask collapse and expand as I inhale and exhale. So I just wanted to leave a note for anyone else with a larger head that may be looking for masks that fit well and aren't uncomfortably tight. I have worn these for an entire day without issue.']"
"1096536","https://www.projectn95.org/products/extreme-comfort-3230-n95-masks-ez-go-zip-pack-universal-size/","Gerson Company","Extreme Comfort™ 3230 N95 EZ-GO Zip Pak Universal Size","One Size Fits Most","Pack of 5","United States,Duckbill,Headstrap,N95","  Work, Travel, Shop, Play, Be Safe, Be Comfortable Packaged for convenience in a re-sealable bag containing 5 individually wrapped respirators. The most comfortable respirator on the market.  4.1 mm H2O inhalation and 5.1 mm exhalation resistance.   NIOSH Approved N95 Respirator: TC-84A-9285.  Individually packaged for hygienic handling. Latex Free, Staple free construction. Adjustable enclosed nosepiece eliminates fogging of eyewear. Fluid Resistant – 120 mm Hg. Meets CDC guidelines for TB exposure control. Durable outer layer and super-soft liner - Made to withstand hardworking environments while providing all-day comfort. Compact Folded Pouch Style mask for easy storage; Individually wrapped for cleanliness. Synthetic rubber head straps designed for a comfortable and secure tension profile and extended life.  Convenience  Work, Travel, Shop, Play, Be Safe, Be Comfortable Packaged for convenience in a re-sealable bag containing 5 individually wrapped respirators.  Travel:  Ideal for easy storage while traveling.  Fits in a suitcase, laptop bag, purse, etc.  Preparedness:  Ideal for easy storage at home or at work.  Fits in a drawer, cabinet, supply closet.  Dispensing:  Ideal for easy dispensing at home or at work.  Easily hand out to family or co-workers.  Able to be dispensed in vending machines.  Product and Packaging Information:    Model# 3230: N95 NIOSH Approved TC-84A-9285   Product Dimensions: 9.25' x 3.5'    Quantity: 1 Bag (5 Individually Wrapped N95 Respirators per bag)    Ordering Part Number: 083230-EZGOB ","","White"," GERSON® has been manufacturing NIOSH Approved, FDA cleared respirators for more than 35 years ISO 9001-2015 certified manufacturer of respiratory protective devices Manufactured in Middleboro, MA U.S. ","['5', 'Great breathability and fit', 'This is my third purchase of the Gerson 3220 masks.  They fit me quite well and are easier to breathe than others I have tried.  Thanks for carrying these masks.']"
